",""num_police"",""cout_sin"""
1,20414,1654
2,81516,1828
3,95200,1365
4,62451,2696
5,82757,1934
6,69399,2603
7,11021,2158
8,96173,2775
9,93717,1997
10,68768,2510
11,9658,1236
12,50775,1363
13,729,3291
14,52565,1536
15,13335,6073
16,42560,1491
17,80549,1603
18,14279,2814
19,87161,2612
20,89078,1526
21,68573,2019
22,48188,1950
23,49967,1637
24,77734,2646
25,99390,1295
26,97529,1343
27,63261,2309
28,40445,1514
29,42077,2134
30,41188,2271
31,3891,1843
32,99081,1537
33,82239,2852
34,63412,1851
35,96913,1913
36,37500,1435
37,2662,2831
38,86230,1996
39,62924,1331
40,82197,1327
41,3566,2870
42,70561,1856
43,48800,1570
44,84762,1624
45,94577,1595
46,74657,1203
47,54940,1822
48,68292,3094
49,64872,1820
50,62754,1267
51,59464,1348
52,42181,1692
53,4686,1338
54,65398,1458
55,39193,1299
56,36781,1999
57,598,1470
58,78111,3622
59,73306,1298
60,39852,2002
61,15577,1352
62,54342,2684
63,43405,1949
64,43096,1274
65,88201,1704
66,88209,1556
67,85052,2156
68,73171,4444
69,50934,3035
70,97250,1203
71,35276,2704
72,88483,2677
73,84860,3145
74,57120,1460
75,57476,1410
76,43120,3319
77,7850,2473
78,70764,2347
79,72623,3114
80,213,2195
81,30117,2008
82,35594,4818
83,88263,1988
84,37290,1480
85,96558,2225
86,32052,1268
87,95809,2438
88,19804,1610
89,37762,1443
90,63725,4032
91,15627,2004
92,38092,2952
93,5728,1898
94,67184,1317
95,18162,1355
96,61050,1905
97,11536,2891
98,63906,2304
99,98661,5004
100,5370,2494
101,77717,1676
102,98691,1988
103,8811,2890
104,89563,7485
105,16271,1832
106,63949,1817
107,3100,1760
108,12081,2335
109,61466,1291
110,75943,3129
111,54163,1319
112,46786,2381
113,27628,1356
114,58439,2282
115,72678,1973
116,45672,1481
117,60110,2728
118,10772,1997
119,66324,2267
120,69918,1266
121,3478,2726
122,61483,1960
123,93399,1661
124,82215,1290
125,39952,4264
126,43470,1545
127,94105,1566
128,1444,2762
129,36390,1968
130,52939,1243
131,82413,2207
132,17061,1927
133,32957,2072
134,58774,1704
135,53147,1270
136,14872,1805
137,63987,1475
138,27134,1596
139,1101,2367
140,70836,1435
141,48974,1352
142,47475,1352
143,81179,1763
144,43793,1791
145,58862,1446
146,71773,3249
147,71507,2715
148,65954,3263
149,77294,1519
150,86484,2533
151,36752,1664
152,48578,2148
153,80611,1746
154,43566,1307
155,90142,1802
156,66165,1420
157,992,1586
158,50034,1988
159,9084,1205
160,71105,1563
161,26094,1999
162,92142,1988
163,23279,2035
164,60589,1400
165,17045,1343
166,87582,1397
167,17507,1288
168,88464,1647
169,7819,2271
170,83073,1986
171,83025,1381
172,23391,1423
173,50432,1573
174,14055,1460
175,91696,2486
176,33684,2052
177,41985,2290
178,9357,1643
179,66278,1631
180,72258,1803
181,20,1703
182,90199,1432
183,50585,3427
184,23814,2230
185,87571,1861
186,26515,3502
187,32764,2599
188,79862,2558
189,30351,2594
190,16543,3212
191,37004,1219
192,99266,2103
193,82235,2629
194,7258,2702
195,4934,2163
196,5548,2262
197,14413,1768
198,29304,1577
199,43853,2685
200,67645,1562
201,795,1828
202,53096,2609
203,47959,3958
204,52579,1771
205,19795,3506
206,20140,2022
207,42975,1453
208,23751,3120
209,33006,1319
210,20527,2429
211,85576,1770
212,15021,2812
213,410,1458
214,13570,2335
215,13829,1861
216,55128,1214
217,27295,2789
218,42861,1276
219,55857,4497
220,72941,2973
221,95030,2202
222,11698,2242
223,4647,1791
224,50248,1511
225,79210,3679
226,97356,1470
227,91653,1787
228,52454,1380
229,78792,2084
230,53029,1894
231,82467,1214
232,11816,1396
233,7074,1600
234,56225,2449
235,26464,1210
236,67685,2757
237,43393,2793
238,26686,1878
239,88247,1938
240,16481,2958
241,44785,1675
242,63708,4224
243,80088,2082
244,96734,1847
245,3684,1939
246,45534,2378
247,49086,1437
248,80217,3384
249,44590,2733
250,58912,2930
251,90342,1752
252,81124,2514
253,89520,2382
254,83792,1235
255,71002,1669
256,71635,2594
257,89391,1314
258,43323,1463
259,88547,1361
260,58800,1833
261,2148,2278
262,95632,2020
263,67275,3032
264,61228,2321
265,84189,1827
266,80350,2255
267,60793,1203
268,78065,1775
269,14447,1219
270,80170,1238
271,77183,1803
272,60069,1843
273,53559,4570
274,92648,1631
275,22662,1247
276,76825,4510
277,88123,6680
278,8416,2014
279,84579,1306
280,86392,2328
281,87532,3405
282,69006,1991
283,31582,2225
284,5352,1586
285,44969,2619
286,78156,1281
287,42985,1236
288,43986,1700
289,5132,2510
290,82949,2174
291,31280,1782
292,5116,1770
293,52210,2017
294,32850,2720
295,94849,2293
296,51174,2019
297,5048,3263
298,45735,1547
299,21694,1691
300,73656,1598
301,27936,1514
302,49270,2306
303,51016,1281
304,24348,2270
305,44320,1546
306,94019,2300
307,19001,1586
308,34853,3431
309,65231,1671
310,30539,2034
311,29726,1625
312,30172,1416
313,40916,1977
314,69498,1785
315,73446,1490
316,15682,1902
317,74669,1387
318,29289,2704
319,45075,1922
320,18867,1879
321,29173,2269
322,16529,2506
323,9139,1547
324,83870,1429
325,95610,1994
326,4124,1613
327,29191,2278
328,24518,2680
329,14053,2315
330,8008,2971
331,47323,2017
332,76216,1793
333,59870,2218
334,7416,4118
335,33731,2300
336,53477,1805
337,98168,2304
338,62137,2048
339,24070,1713
340,30047,3593
341,70917,2368
342,12740,1833
343,77244,2153
344,81593,2161
345,82632,1403
346,19395,3716
347,79952,1584
348,27812,1408
349,95569,3111
350,15103,1880
351,87881,1772
352,44396,2768
353,27659,2458
354,41722,1545
355,73444,1599
356,63655,1640
357,10356,1567
358,22861,1625
359,41195,2986
360,18976,2717
361,92117,3368
362,89096,1239
363,62887,1584
364,4184,1271
365,93082,2986
366,30693,1383
367,93820,1674
368,27943,1388
369,36629,1469
370,6526,2249
371,54275,1385
372,38393,2825
373,32086,1348
374,35852,2624
375,81087,1266
376,92593,1882
377,89841,2632
378,19355,2124
379,39675,1725
380,62247,3411
381,59822,3281
382,37604,1507
383,98324,2165
384,4406,1580
385,63761,2023
386,89359,2541
387,49000,1247
388,42345,2684
389,12725,1371
390,90760,1881
391,62496,2156
392,41443,2553
393,29307,1846
394,96880,1211
395,68204,1637
396,79458,2337
397,61105,1537
398,49654,1255
399,4358,1473
400,51615,2041
401,24643,1290
402,57222,1357
403,16730,2561
404,86783,1219
405,22566,1786
406,77642,2387
407,84669,3417
408,43232,1258
409,8274,1355
410,76795,2190
411,17068,1721
412,46523,2591
413,34019,1705
414,8112,2777
415,39740,2232
416,48468,1475
417,94382,1263
418,50650,2939
419,90737,1205
420,60538,2694
421,47075,2381
422,67319,1933
423,59522,2427
424,8475,2155
425,85136,1722
426,21062,2642
427,43776,1980
428,67699,1872
429,95200,1501
430,61910,3075
431,22750,1375
432,17781,2281
433,4721,1692
434,86757,3190
435,89728,2440
436,48599,1787
437,87049,3572
438,98421,1604
439,37141,2600
440,95108,1464
441,40240,1255
442,37831,1248
443,3353,2036
444,1876,3492
445,94553,2694
446,69943,1380
447,24585,2169
448,93569,1857
449,58152,1802
450,91015,5791
451,3928,2966
452,27424,2036
453,64124,2120
454,21605,1829
455,64098,3024
456,4195,2716
457,82410,1826
458,45727,1411
459,33406,3211
460,43639,1570
461,20598,2272
462,63178,5324
463,78619,2763
464,72434,6182
465,68251,2494
466,49228,2452
467,83467,1605
468,42485,1809
469,34193,2639
470,10508,2279
471,16843,3312
472,74129,1716
473,59647,2027
474,65754,1704
475,12570,3457
476,64243,2034
477,57334,1430
478,3566,2429
479,69699,1527
480,52998,2544
481,14223,2254
482,65365,1567
483,86148,3710
484,5614,2072
485,18769,2612
486,55305,2587
487,21804,5202
488,63327,2843
489,81563,5492
490,10066,2190
491,24130,4439
492,387,2044
493,94911,4328
494,35912,1405
495,9273,1563
496,9817,1658
497,81891,1893
498,48159,2070
499,3821,2212
500,20443,1222
501,54762,2718
502,68695,2472
503,73550,1305
504,27740,1207
505,26331,2816
506,71288,2719
507,15656,1467
508,46309,1371
509,46222,3837
510,19454,1946
511,11603,1564
512,78884,1696
513,1121,2734
514,19711,1683
515,48790,1643
516,5620,1766
517,95726,1287
518,40477,1520
519,3475,1773
520,51180,1764
521,7275,1233
522,71829,1404
523,17853,3452
524,50520,2236
525,78083,1340
526,37091,2720
527,63176,1699
528,67324,1626
529,30488,2275
530,20904,1494
531,41076,3202
532,6238,1429
533,93308,2265
534,15480,2961
535,48240,3463
536,84645,3038
537,11554,1539
538,69296,2939
539,75659,1700
540,92035,1550
541,60416,2931
542,47785,1514
543,98708,2155
544,80229,1732
545,40484,3233
546,17156,1853
547,5861,2435
548,69870,1535
549,19898,2723
550,58128,1334
551,3400,2849
552,51919,1782
553,9779,2180
554,51501,2367
555,58150,2797
556,76002,1337
557,30327,1538
558,84252,1453
559,11782,2097
560,33410,3937
561,84730,2344
562,68800,2699
563,31536,2869
564,39068,4320
565,740,1636
566,75759,1351
567,67057,2414
568,22747,1875
569,15853,1392
570,98898,2165
571,58615,1204
572,93407,2377
573,85591,1837
574,51959,2066
575,24699,2388
576,96264,2685
577,59444,1369
578,93642,2699
579,38644,1632
580,17314,1599
581,73396,1552
582,7927,2045
583,65145,2763
584,47153,3440
585,8025,1338
586,75060,2455
587,60201,1234
588,32170,1408
589,35371,1615
590,63024,1790
591,49759,4598
592,22710,2094
593,84088,2533
594,87963,2917
595,74157,1288
596,84913,1929
597,74914,1765
598,94118,1894
599,33339,1447
600,4010,1616
601,98843,1415
602,51078,2407
603,98650,1336
604,83208,1726
605,81713,1407
606,46260,1285
607,77186,1583
608,6766,2744
609,60706,1809
610,82432,1490
611,63602,2761
612,68698,2197
613,46956,1893
614,19637,1734
615,10636,2071
616,70582,1583
617,55565,1595
618,13446,1524
619,57042,2687
620,23404,1483
621,26714,1509
622,91513,3013
623,65504,1605
624,20798,2970
625,47033,3342
626,66528,2194
627,70634,1769
628,69249,1565
629,24588,2710
630,70370,2884
631,6489,1789
632,29874,1991
633,32419,2455
634,84675,1700
635,94091,2086
636,4506,1843
637,28388,1725
638,79947,3604
639,52132,5886
640,90985,1229
641,55729,1540
642,43004,1798
643,90763,2368
644,24102,2026
645,27907,1833
646,92718,2751
647,65767,2431
648,60146,2070
649,48250,3494
650,43871,2740
651,29852,2915
652,47924,1280
653,7505,2228
654,33270,1289
655,17524,1321
656,73125,1444
657,21184,2597
658,71042,3479
659,14595,6182
660,73698,2571
661,3134,1838
662,47776,1485
663,49605,3777
664,89970,1298
665,30694,1337
666,79675,2473
667,85730,2399
668,34755,3540
669,61445,1643
670,54793,1877
671,10473,1678
672,2765,1649
673,99682,2379
674,63824,1743
675,45907,1743
676,83519,2009
677,40077,2633
678,57475,1530
679,81715,2013
680,14909,3855
681,5430,2287
682,47827,1367
683,83127,1773
684,92951,1996
685,61478,2156
686,83802,2040
687,5436,3716
688,73391,2044
689,3565,1234
690,63672,2413
691,98000,3053
692,41436,2522
693,82832,1617
694,69716,1429
695,2884,1631
696,68276,1725
697,68903,1343
698,36577,1355
699,21128,1422
700,39459,1315
701,52097,2373
702,20103,1353
703,49125,2398
704,70188,2058
705,65137,3576
706,21120,10097
707,65529,1789
708,70951,2202
709,79276,1485
710,65110,3249
711,76663,1474
712,71389,1284
713,41647,1206
714,78862,2186
715,28033,1203
716,25935,5960
717,48300,3471
718,84082,2782
719,57001,3764
720,41621,1366
721,31580,2734
722,48114,2361
723,75521,3080
724,65846,2617
725,42511,1577
726,65648,1367
727,1340,1419
728,96867,2093
729,76611,2189
730,48086,4393
731,42123,2168
732,37502,2373
733,18783,1686
734,55987,3793
735,98144,1211
736,70843,2165
737,40754,1985
738,77858,1981
739,31951,1750
740,98188,1236
741,35503,2513
742,93352,2031
743,61605,2247
744,68878,2595
745,21056,1448
746,48312,3036
747,96571,4685
748,40097,1571
749,61913,1580
750,76051,1383
751,94885,3961
752,30687,1753
753,21141,2051
754,58657,1326
755,53217,2005
756,80414,2903
757,65332,2050
758,19147,1871
759,72700,2218
760,78111,1204
761,72542,1845
762,50791,2681
763,314,1278
764,99804,2194
765,8180,1879
766,89567,1418
767,3299,1373
768,10182,1805
769,41339,1402
770,93700,1546
771,97044,1211
772,25346,1910
773,88601,1913
774,38107,1692
775,3659,2878
776,89962,1852
777,70341,2150
778,91933,3006
779,43675,2516
780,80288,2394
781,57946,2774
782,27180,2030
783,10169,3075
784,53160,3701
785,3014,1242
786,31577,3840
787,61428,2137
788,59534,2524
789,34180,1527
790,5251,2658
791,47768,2405
792,77183,2629
793,63068,2494
794,1882,1217
795,41885,1807
796,77198,1242
797,3714,3563
798,41198,2742
799,1421,2939
800,66063,2545
801,63891,1446
802,52739,2483
803,68703,1487
804,71753,1227
805,51368,3269
806,53076,1356
807,13118,1486
808,87902,1739
809,41014,2447
810,75521,2935
811,2853,4308
812,78025,3534
813,880,1629
814,56308,2800
815,31246,1556
816,93984,1785
817,80582,3388
818,85419,1324
819,94434,2443
820,69971,1259
821,95959,2923
822,81363,1414
823,23364,1366
824,82784,1528
825,17493,5041
826,24088,1380
827,40920,1349
828,91323,1208
829,34764,3728
830,33736,1354
831,74952,1642
832,7541,2423
833,35522,2226
834,39326,1973
835,48925,2653
836,36686,1661
837,22727,1319
838,64735,1667
839,3211,1394
840,57786,2705
841,39001,2667
842,49209,2131
843,82989,2117
844,82738,2811
845,91417,1490
846,47681,2195
847,36782,2339
848,59930,1206
849,22867,1260
850,87183,1964
851,56418,2315
852,53803,1553
853,11892,1477
854,88241,2648
855,85930,1615
856,95786,1201
857,99385,2998
858,88912,2760
859,15907,1960
860,94779,1650
861,8536,1238
862,21442,1273
863,51963,2352
864,78733,1831
865,16748,1878
866,36850,3215
867,4629,5787
868,51618,2474
869,71149,1366
870,61953,1525
871,61679,1522
872,62608,2010
873,39516,1877
874,33648,1653
875,54186,2582
876,83093,3047
877,15854,1263
878,32407,3220
879,47991,1477
880,51196,3594
881,81068,1468
882,23329,3692
883,60690,1506
884,96117,1220
885,17243,1201
886,65035,1780
887,97375,1904
888,27515,2143
889,92585,1677
890,23095,1984
891,39104,3693
892,15401,1668
893,69163,2527
894,63077,1715
895,78917,1558
896,84680,3879
897,66669,3132
898,46193,1395
899,83231,1423
900,2819,3248
901,80962,1426
902,7375,1581
903,11607,2512
904,95363,1767
905,89252,1610
906,27500,1657
907,62305,2237
908,18923,4011
909,78852,1326
910,16558,1342
911,36249,3853
912,6421,1830
913,57701,2437
914,43230,1433
915,16463,1629
916,58997,1873
917,82080,1664
918,96545,2007
919,68204,2184
920,95630,4137
921,46010,1375
922,41146,2806
923,24094,2639
924,81869,2726
925,36899,2490
926,42697,2740
927,6478,1931
928,11966,2494
929,94877,1793
930,4288,1295
931,77008,1295
932,79834,1386
933,64912,1938
934,45936,1637
935,33600,1496
936,88387,2418
937,51881,1301
938,67351,1718
939,59019,7909
940,15905,2302
941,42363,1621
942,14125,1205
943,33435,1961
944,1585,6750
945,46259,1326
946,21752,1650
947,50001,3293
948,7014,2312
949,79949,1383
950,69714,1759
951,64848,1336
952,58815,3038
953,46103,2271
954,42147,1346
955,62212,4401
956,91650,1454
957,8853,3259
958,55996,1557
959,8475,2582
960,79369,5603
961,39238,2190
962,84096,1270
963,9178,3319
964,31568,2445
965,57014,1870
966,95471,7010
967,48357,2539
968,56620,2205
969,20146,1258
970,15100,2084
971,15044,2082
972,37063,1603
973,5347,1749
974,85059,1398
975,51461,2615
976,80614,2100
977,49957,1214
978,57574,1485
979,68300,2747
980,26237,2074
981,59690,2032
982,30954,1404
983,92908,1389
984,25365,3437
985,75613,3045
986,48423,1768
987,13075,1305
988,41309,2601
989,24654,1704
990,25422,3342
991,64118,2868
992,74665,2880
993,87660,2721
994,16937,1547
995,52593,2700
996,88569,1443
997,25011,2143
998,67853,1996
999,39406,1257
1000,82149,1209
1001,28023,2628
1002,16184,2780
1003,7565,2653
1004,5187,2910
1005,45783,2083
1006,97163,2080
1007,83666,2049
1008,92382,2224
1009,57988,1719
1010,11957,3834
1011,3956,1450
1012,18070,1355
1013,15235,1291
1014,48261,1786
1015,60860,1704
1016,57620,2331
1017,89097,1217
1018,80372,2011
1019,62668,1739
1020,81384,2464
1021,69936,1209
1022,94892,2995
1023,20570,1859
1024,63158,3306
1025,23055,2214
1026,83771,2606
1027,36311,3258
1028,72101,1438
1029,40941,2103
1030,98291,1739
1031,75231,1714
1032,26061,4454
1033,605,1933
1034,20019,3217
1035,93636,2494
1036,14657,2625
