",""num_police"",""cout_sin"""
1,104,1221
2,95620,3057
3,44253,1382
4,74361,1255
5,54405,1983
6,72621,1644
7,40546,4115
8,27165,3435
9,38391,1721
10,59670,1566
11,24735,2334
12,59637,2961
13,91302,1606
14,38628,3002
15,30567,2365
16,8380,2945
17,58822,2485
18,99955,2355
19,87242,2536
20,46061,2308
21,84296,1865
22,11896,3164
23,57937,2696
24,75570,2848
25,9460,3293
26,80390,6307
27,40240,3600
28,62100,2609
29,81642,3910
30,33511,2295
31,16592,1841
32,97211,2170
33,26832,3953
34,3325,1289
35,15262,1223
36,36973,3595
37,85685,2414
38,8864,1817
39,8273,2859
40,10046,1214
41,41410,1731
42,48012,2126
43,99730,1694
44,94768,1572
45,66692,1502
46,87542,3084
47,5960,1879
48,54322,1480
49,74889,3284
50,379,2300
51,79722,1272
52,3237,2587
53,16047,1567
54,32265,3416
55,49504,3875
56,35414,1464
57,85218,1411
58,66597,2458
59,6881,4034
60,90552,2808
61,9027,2041
62,97467,1486
63,19278,2912
64,19794,1951
65,75264,1626
66,24099,1330
67,71394,1300
68,58568,2312
69,70640,3152
70,26196,1553
71,80862,1458
72,98361,2855
73,66343,1354
74,66237,3170
75,88467,1335
76,54449,2046
77,65168,1972
78,22741,1251
79,70555,1277
80,75937,3728
81,80960,1218
82,18275,2485
83,42551,2289
84,58371,2778
85,43673,1967
86,30573,2451
87,96302,4119
88,13133,1503
89,81379,1664
90,32260,2650
91,62890,1739
92,66448,1361
93,8331,2393
94,99447,1621
95,35761,2032
96,8720,2419
97,52342,6591
98,65208,2633
99,6113,2221
100,79153,3601
101,38528,1750
102,8917,2364
103,55773,1354
104,53313,1339
105,74033,1546
106,6475,2910
107,37008,3554
108,16179,5050
109,30158,2052
110,42938,2550
111,96128,1744
112,11680,1828
113,46163,2125
114,66718,1552
115,16936,2726
116,91148,4726
117,93902,1477
118,36886,1546
119,81041,1309
120,88714,2958
121,36266,1800
122,35129,2183
123,54205,2672
124,52644,1727
125,29980,1777
126,43704,2346
127,97516,1476
128,83181,2212
129,80155,4149
130,81166,1535
131,74062,2856
132,55685,1974
133,12560,2160
134,1257,2613
135,46922,1374
136,20412,2402
137,49916,1299
138,14721,2933
139,66236,1289
140,92280,2706
141,56348,1543
142,53825,1807
143,23703,1409
144,70942,2719
145,82404,2992
146,80820,2876
147,92129,2193
148,87463,1635
149,81632,1727
150,22689,2158
151,30707,2119
152,8814,1482
153,40282,1215
154,34417,1570
155,76407,1413
156,39064,2693
157,16533,1813
158,56268,3285
159,37403,1458
160,31523,3413
161,67570,3141
162,39301,4597
163,5315,1926
164,76876,1954
165,11336,2427
166,58687,3036
167,75779,1617
168,40672,1229
169,77301,2888
170,60456,1991
171,68945,1805
172,48041,1943
173,52564,2648
174,31268,3173
175,94053,1834
176,14300,3440
177,86273,1652
178,74777,1676
179,9492,2684
180,51768,2148
181,97149,2579
182,71704,1552
183,30899,1564
184,52102,2448
185,89116,1462
186,40329,2367
187,17757,2990
188,9176,1397
189,95964,1993
190,14291,5195
191,58463,2471
192,43172,2430
193,24492,1936
194,50638,1840
195,32632,2682
196,27289,1862
197,84004,1702
198,89447,1423
199,62348,1982
200,37700,1860
201,56758,1267
202,63170,1285
203,60791,1227
204,51800,2575
205,71209,1945
206,47056,1482
207,40453,3004
208,52915,2760
209,28019,2847
210,98802,1515
211,88097,1351
212,49425,1242
213,15339,1300
214,78718,1329
215,19049,2440
216,18674,1818
217,1769,1408
218,31758,1282
219,70511,2058
220,98602,1267
221,38677,1277
222,81346,1929
223,19784,1488
224,53543,1224
225,79693,1396
226,96838,1426
227,15748,1696
228,30575,4741
229,88491,2057
230,81615,2026
231,85290,2430
232,91664,3894
233,54738,1865
234,36204,2514
235,28270,1596
236,9412,1830
237,40461,1272
238,91571,3113
239,59047,1375
240,89174,2253
241,73297,1445
242,95869,2327
243,27671,5328
244,33233,1254
245,89559,2768
246,31363,1340
247,64375,2880
248,59159,1635
249,16121,3262
250,6162,4668
251,26024,1848
252,62576,3403
253,84321,1244
254,86617,3955
255,61310,3147
256,78200,2259
257,71860,2280
258,68590,2608
259,71397,1806
260,53500,2100
261,37781,2316
262,22812,1829
263,71227,2008
264,94078,1663
265,15025,1883
266,57526,1600
267,29940,2332
268,70236,1420
269,79037,2097
270,34569,2678
271,89694,1230
272,13921,2065
273,47931,3693
274,37465,2790
275,83214,1207
276,26829,2428
277,75219,2320
278,64387,2293
279,94712,3642
280,64595,1710
281,68338,2155
282,45865,2101
283,3101,1771
284,45219,2218
285,51076,1932
286,52659,1345
287,94367,1359
288,68637,3599
289,89459,2141
290,10927,3382
291,62231,3020
292,28420,3785
293,91958,2789
294,70036,1841
295,94861,2730
296,41881,2082
297,16856,1756
298,90689,1375
299,66520,2626
300,34057,1301
301,4289,2505
302,6117,1964
303,54516,2632
304,33865,2530
305,23716,1811
306,95473,1598
307,60093,2957
308,89541,1857
309,87540,3490
310,31187,2757
311,36511,2257
312,27291,1752
313,65783,1413
314,81839,2327
315,7271,1905
316,49496,1417
317,29101,4129
318,83269,9836
319,64476,2052
320,23635,2003
321,21743,2598
322,93690,1495
323,57088,2837
324,29611,2654
325,16166,1252
326,17447,2630
327,66591,1371
328,19850,7166
329,62878,1723
330,91766,2647
331,16236,3676
332,69844,1967
333,28167,1330
334,2031,3049
335,21942,1234
336,4185,1701
337,25501,1722
338,66969,2319
339,7242,2600
340,5028,2622
341,6052,2770
342,45287,2419
343,34297,1889
344,97565,1527
345,81236,2603
346,64499,1536
347,98793,1546
348,64668,2632
349,33862,1427
350,83053,1624
351,99169,1720
352,55144,1340
353,38405,1492
354,64776,2469
355,18239,4794
356,1559,3231
357,47638,3263
358,938,3114
359,57748,2894
360,30382,1334
361,78276,2293
362,80179,1765
363,43001,3210
364,21372,2061
365,33129,2063
366,910,1889
367,49070,2047
368,19247,1770
369,72576,3065
370,65638,1626
371,1823,2025
372,10234,2424
373,72024,1295
374,68489,2127
375,41166,1380
376,69858,2371
377,37442,2057
378,70324,1592
379,79353,1942
380,40488,2008
381,4754,1306
382,71781,5427
383,76726,1283
384,93412,2826
385,18902,1634
386,96388,2052
387,59355,2467
388,85887,6306
389,28559,1619
390,52979,6564
391,56311,2061
392,45221,4318
393,73423,1566
394,16101,1787
395,64546,1726
396,70581,1693
397,9117,1386
398,32485,1783
399,50278,2222
400,76156,1604
401,94346,2536
402,67630,2536
403,53962,2076
404,53306,1629
405,99705,2372
406,58857,1605
407,9464,1267
408,7724,1375
409,22352,2144
410,23211,2532
411,72025,1569
412,33820,2077
413,24936,2630
414,3043,2833
415,74430,2366
416,32049,1238
417,209,4867
418,67157,2534
419,66905,3026
420,80770,2325
421,96569,2549
422,11380,2193
423,67141,2092
424,71523,1246
425,62392,1792
426,77052,1636
427,54680,1911
428,86889,2457
429,46379,2157
430,56713,2691
431,10867,2087
432,30803,1392
433,33562,1716
434,56405,1245
435,89459,1294
436,27138,1918
437,76078,2972
438,79037,1347
439,17032,1377
440,90448,1264
441,73087,2568
442,15831,1879
443,57749,2633
444,33533,1260
445,34052,3170
446,87061,2336
447,94301,1851
448,98242,2661
449,20368,2676
450,95673,1974
451,16370,1833
452,52895,4152
453,28270,2410
454,37610,1728
455,82731,1372
456,85831,1387
457,39491,1325
458,37181,1689
459,25109,2648
460,46037,1834
461,84613,1211
462,9567,1619
463,84009,2777
464,87685,5362
465,43790,1769
466,61661,1764
467,3633,1346
468,10282,1874
469,74838,1781
470,75027,2021
471,53071,1599
472,77071,1556
473,52952,2878
474,64730,1446
475,16080,1498
476,75717,2449
477,23531,2015
478,54368,2067
479,34584,1208
480,27021,1756
481,33043,1280
482,56148,2435
483,71617,1539
484,43578,1453
485,22501,1364
486,4586,2063
487,77246,1214
488,65553,4922
489,35449,1364
490,49020,3135
491,52483,2059
492,39498,1790
493,68323,1980
494,33806,2251
495,3331,2634
496,63883,1512
497,44785,1789
498,70774,2614
499,79425,2074
500,68287,2151
501,34159,1699
502,78782,1254
503,97435,2934
504,90934,1739
505,61917,1637
506,89276,2296
507,12976,1641
508,22085,1792
509,9422,1639
510,97195,1495
511,17845,1915
512,25872,2257
513,97834,2416
514,21032,1525
515,52334,2029
516,56662,1282
517,57982,3481
518,52078,1964
519,19550,1408
520,65227,1200
521,62120,1630
522,92602,1586
523,93311,2635
524,18342,1768
525,15344,2088
526,16550,6248
527,2147,2769
528,5865,1651
529,79630,1450
530,64261,4071
531,58088,2492
532,90944,1918
533,29870,3164
534,57454,2090
535,10872,1724
536,20603,1241
537,70631,7406
538,85900,1224
539,20556,2641
540,81722,1358
541,10285,2469
542,82404,2586
543,83527,1372
544,57576,2209
545,55441,1259
546,30117,1446
547,26820,1895
548,77205,1895
549,50968,1973
550,23193,2237
551,65913,3028
552,72895,3103
553,7822,2190
554,83376,2332
555,70192,2459
556,71169,2181
557,52094,1741
558,78594,1329
559,56795,1660
560,11454,3173
561,21185,1718
562,82735,2409
563,46859,2094
564,11112,2067
565,36509,2290
566,44509,1450
567,1756,1771
568,96458,1578
569,32538,1830
570,9668,1227
571,71848,1888
572,80477,1229
573,69724,2061
574,85728,2372
575,1784,2533
576,33868,1378
577,84963,1834
578,17454,1396
579,15214,2857
580,55683,1580
581,65613,2643
582,99496,1941
583,57794,2116
584,48249,1291
585,69267,1640
586,15940,1325
587,56700,2610
588,9690,1731
589,2379,1987
590,79999,2048
591,2437,1864
592,84457,3080
593,95108,3177
594,29539,1496
595,89396,3350
596,35447,1604
597,82975,1838
598,51002,1695
599,71972,1329
600,63272,1744
601,36518,1615
602,1928,1550
603,34785,2992
604,91515,2104
605,26872,1682
606,58705,2380
607,37551,1349
608,20001,5354
609,19643,1965
610,71091,2116
611,38195,1619
612,15947,1597
613,75148,1408
614,66190,4158
615,28380,1236
616,63144,2955
617,31039,1862
618,24574,2173
619,81650,3632
620,26982,1334
621,48705,3033
622,68672,2229
623,75670,2426
624,51663,1573
625,4509,3470
626,9088,1773
627,5568,1751
628,17261,5028
629,72971,1681
630,61716,1955
631,87481,1249
632,54633,2426
633,98461,2467
634,78721,2587
635,56171,3214
636,49203,1705
637,58729,1489
638,21475,1923
639,35995,1527
640,60923,1960
641,82089,2078
642,74182,1482
643,82598,2026
644,78041,1733
645,39567,1237
646,43632,3076
647,88530,3728
648,97815,1245
649,93063,2448
650,75462,2071
651,11783,2294
652,92436,2883
653,34263,1549
654,97926,2265
655,40270,1987
656,92714,1706
657,89401,2414
658,61087,2014
659,6275,4465
660,89713,1836
661,81687,1698
662,68641,1890
663,31823,2862
664,56408,2769
665,78499,1714
666,34757,2222
667,7324,2922
668,42149,2608
669,53800,2780
670,79796,1434
671,58133,1298
672,24623,1647
673,18699,1321
674,22298,1422
675,69500,2446
676,85787,1245
677,40368,1287
678,17216,1460
679,54416,1591
680,12901,1719
681,89811,1649
682,56404,1415
683,32469,2212
684,75398,3742
685,70700,1360
686,18440,2071
687,90113,1573
688,91446,1354
689,18400,1483
690,66357,1806
691,28257,2553
692,39912,2078
693,35963,3604
694,80769,1842
695,58395,1337
696,85806,1366
697,16634,1875
698,44020,1936
